,tournament_index,round,players,result
2740,96,3rd round,[2] Nour El Sherbini (EGY) bt [16] Olivia Blatchford Clyne (USA),"11-5, 11-5, 11-3 (23m)"
2741,96,2nd round,[1] Raneem El Welily (EGY) bt Mariam Metwally (EGY),"11-4, 11-5, 11-6 (20m)"
2742,96,2nd round,[14] Joshna Chinappa (IND) bt Tinne Gilis (BEL),"11-8, 11-8, 13-11 (37m)"
2743,96,2nd round,[10] Annie Au (HKG) bt Joey Chan (HKG),"11-5, 11-9, 12-10 (29m)"
2744,96,2nd round,[6] Nouran Gohar (EGY) bt Low Wee Wern (MAS),"11-4, 11-5, 5-11, 11-6 (39m)"
2745,96,2nd round,[5] Camille Serme (FRA) bt Milou van der Heijden (NED),"11-7, 12-10, 11-6 (30m)"
2746,96,2nd round,[13] Victoria Lust (ENG) bt Liu Tsz-Ling (HKG),"16-14, 11-8, 11-8 (30m)"
2747,96,2nd round,[11] Nicol David (MAS) bt Rowan Elaraby (EGY),"11-9, 11-7, 13-11 (33m)"
2748,96,2nd round,[4] Joelle King (NZL) bt Zeina Mickawy (EGY),"11-9, 11-9, 8-11, 11-1 (39m)"
2749,96,2nd round,[3] Nour El Tayeb (EGY) bt Lisa Aitken (SCO),"11-6, 11-0, 11-4 (20m)"
2750,96,2nd round,[12] Amanda Sobhy (USA) bt Danielle Letourneau (CAN),"11-6, 11-6, 11-6 (23m)"
2751,96,2nd round,[9] Alison Waters (ENG) bt Emily Whitlock (ENG),"11-7, 8-11, 11-6, 11-6 (38m)"
2752,96,2nd round,[8] Tesni Evans (WAL) bt Millie Tomlinson (ENG),"11-4, 11-8, 11-6 (38m)"
2753,96,2nd round,[7] Laura Massaro (ENG) bt Yathreb Adel (EGY),"11-3, 11-6, 12-10 (30m)"
2754,96,2nd round,[15] Salma Hany (EGY) bt Sivasangari Subramaniam (MAS),"11-8, 11-8, 11-6 (30m)"
2755,96,2nd round,[16] Olivia Blatchford Clyne (USA) bt Nele Gilis (BEL),"11-9, 7-11, 12-10, 13-11 (64m)"
2756,96,2nd round,[2] Nour El Sherbini (EGY) bt Hania El Hammamy (EGY),"11-7, 11-4, 6-11, 11-7 (49m)"
2757,96,1st round,[1] Raneem El Welily (EGY),bye
2758,96,1st round,Mariam Metwally (EGY) bt Ho Tze-Lok (HKG),"11-5, 11-9, 11-3 (26m)"
2759,96,1st round,Tinne Gilis (BEL) bt Coline Aumard (FRA),"11-7, 11-9, 11-5 (27m)"
2760,96,1st round,[14] Joshna Chinappa (IND),bye
2761,96,1st round,[10] Annie Au (HKG),bye
2762,96,1st round,Joey Chan (HKG) bt Satomi Watanabe (JPN),"11-6, 11-8, 11-6 (23m)"
2763,96,1st round,Low Wee Wern (MAS) bt Mayar Hany (EGY),"12-10, 11-3, 6-11, 11-6 (42m)"
2764,96,1st round,[6] Nouran Gohar (EGY),bye
2765,96,1st round,[5] Camille Serme (FRA),bye
2766,96,1st round,Milou van der Heijden (NED) bt Haley Mendez (USA),"11-9, 15-13, 6-11, 11-9 (47m)"
2767,96,1st round,Liu Tsz-Ling (HKG) bt Rachael Grinham (AUS),"8-11, 11-5, 11-3, 11-1 (29m)"
2768,96,1st round,[13] Victoria Lust (ENG),bye
2769,96,1st round,[11] Nicol David (MAS),bye
2770,96,1st round,Rowan Elaraby (EGY) bt Alexandra Fuller (RSA),"3-11, 11-9, 11-7, 11-7 (35m)"
2771,96,1st round,Zeina Mickawy (EGY) bt [WC] Marina Stefanoni (USA),"12-10, 3-11, 11-6, 14-12 (49m)"
2772,96,1st round,[4] Joelle King (NZL),bye
2773,96,1st round,[3] Nour El Tayeb (EGY),bye
2774,96,1st round,Lisa Aitken (SCO) bt Nada Abbas (EGY),"13-11, 5-11, 4-11, 15-13, 11-5 (64m)"
2775,96,1st round,Danielle Letourneau (CAN) bt Samantha Cornett (CAN),"0-11, 11-7, 12-10, 13-11 (40m)"
2776,96,1st round,[12] Amanda Sobhy (USA),bye
2777,96,1st round,[9] Alison Waters (ENG),bye
2778,96,1st round,Emily Whitlock (ENG) bt Hollie Naughton (CAN),"8-11, 11-6, 11-8, 11-8 (47m)"
2779,96,1st round,Millie Tomlinson (ENG) bt Amanda Landers-Murphy (NZL),"11-7, 11-7, 11-3 (33m)"
2780,96,1st round,[8] Tesni Evans (WAL),bye
2781,96,1st round,[7] Laura Massaro (ENG),bye
2782,96,1st round,Yathreb Adel (EGY) bt Julianne Courtice (ENG),"11-8, 12-10, 11-5 (25m)"
2783,96,1st round,Sivasangari Subramaniam (MAS) bt Fiona Moverley (ENG),"11-2, 11-7, 11-8 (23m)"
2784,96,1st round,[15] Salma Hany (EGY),bye
2785,96,1st round,[16] Olivia Blatchford Clyne (USA),bye
2786,96,1st round,Nele Gilis (BEL) bt Tong Tsz-Wing (HKG),"12-10, 11-7, 11-6 (42m)"
2787,96,1st round,Hania El Hammamy (EGY) bt [WC] Emilia Soini (FIN),"11-4, 11-2, 11-3 (19m)"
2788,96,1st round,[2] Nour El Sherbini (EGY),bye
2789,96,Final preliminary round,[WC] Emilia Soini (FIN) bt Nicole Bunyan (CAN),"11-5, 11-9, 9-11, 11-9 (34m)"
2790,97,Final,[4] Melissa Alves (FRA) bt [2] Lee Ka Yi (HKG),"11-4, 15-13, 8-11, 4-11, 12-10 (47m)"
2791,97,Semi-finals,[4] Melissa Alves (FRA) bt [1] Vanessa Chu (HKG),"3-11, 11-13, 11-6, 11-5, 11-8 (46m)"
2792,97,Semi-finals,[2] Lee Ka Yi (HKG) bt [3] Sunayna Kuruvilla (IND),"11-8, 13-11, 11-7 (24m)"
2793,97,Quarter-finals,[1] Vanessa Chu (HKG) bt Wu Renee Wing (HKG),"7-11, 11-4, 11-5, 11-5 (29m)"
2794,97,Quarter-finals,[4] Melissa Alves (FRA) bt Kirstie Wong (HKG),"11-7, 11-5, 9-11, 11-7 (30m)"
2795,97,Quarter-finals,[3] Sunayna Kuruvilla (IND) bt [6] Angie Ooi (MAS),"11-8, 11-5, 11-5 (18m)"
2796,97,Quarter-finals,[2] Lee Ka Yi (HKG) bt Cheng Nga Ching (HKG),"12-10, 11-9, 6-11, 11-6 (33m)"
2797,97,1st round,[1] Vanessa Chu (HKG) bt Janet Vidhi (IND),"11-7, 11-3, 11-5"
2798,97,1st round,Wu Renee Wing (HKG) bt [7] Anantana Prasertratanakul (THA),"12-10, 11-7, 11-6"
2799,97,1st round,Kirstie Wong (HKG) bt [8] Liu Kwai Chi (MAC),"11-4, 11-5, 11-9"
2800,97,1st round,[4] Melissa Alves (FRA) bt Chen Yu Ng (MAS),"11-8, 11-2, 11-5"
2801,97,1st round,[3] Sunayna Kuruvilla (IND) bt Rana Ismail (EGY),"14-12, 11-5, 11-2"
2802,97,1st round,[6] Angie Ooi (MAS) bt Ilsa Imran (PAK),"11-7, 11-1, 11-1"
2803,97,1st round,Cheng Nga Ching (HKG) bt [5] Au Yeong Wai Yhann (SGP),"11-9, 11-2, 8-11, 8-11, 11-9 (44m)"
2804,97,1st round,[2] Lee Ka Yi (HKG) bt Chan Sin Yuk (HKG),"14-12, 11-5, 11-2"
2805,98,Final,"[1] Lisa Aitken (SCO) bt [3] Olivia Fiechter (USA)
							[h2h]","11-7, 11-7, 14-12"
2806,98,Semi-finals,"[1] Lisa Aitken (SCO) bt [8] Grace Gear (ENG)
							[h2h]","11-5, 8-11, 11-5, 11-5"
2807,98,Semi-finals,"[3] Olivia Fiechter (USA) bt [2] Ineta Mackevica (LAT)
							[h2h]","11-8, 11-9, 5-11, 8-11, 11-7"
2808,98,Quarter-finals,"[1] Lisa Aitken (SCO) bt [6] Emilia Soini (FIN)
							[h2h]","7-11, 11-9, 7-11, 12-10, 11-3"
2809,98,Quarter-finals,"[8] Grace Gear (ENG) bt [4] Chloe Mesic (FRA)
							[h2h]","5-11, 11-7, 11-5, 11-8"
2810,98,Quarter-finals,"[3] Olivia Fiechter (USA) bt [9/16] Lily Taylor (ENG)
							[h2h]","11-6, 11-8, 9-11, 11-8"
2811,98,Quarter-finals,"[2] Ineta Mackevica (LAT) bt [7] Cristina Gomez (ESP)
							[h2h]","12-10, 11-4, 11-1"
2812,98,2nd round,"[1] Lisa Aitken (SCO) bt [9/16] Bruna Marchesi Petrillo (BRA)
							[h2h]","11-3, 11-6, 11-2"
2813,98,2nd round,"[6] Emilia Soini (FIN) bt [9/16] Eva Feřteková (CZE)
							[h2h]","11-2, 11-2, 11-1"
2814,98,2nd round,"[8] Grace Gear (ENG) bt [9/16] Emilia Korhonen (FIN)
							[h2h]","12-10, 11-7, 11-3"
2815,98,2nd round,"[4] Chloe Mesic (FRA) bt [9/16] Paulina Krzywicka (POL)
							[h2h]","11-4, 11-9, 11-3"
2816,98,2nd round,"[3] Olivia Fiechter (USA) bt [9/16] Charlotte Jagger (ENG)
							[h2h]","11-4, 11-7, 11-6"
2817,98,2nd round,"[9/16] Lily Taylor (ENG) bt [5] Kace Bartley (ENG)
							[h2h]","11-4, 11-7, 14-12"
2818,98,2nd round,"[7] Cristina Gomez (ESP) bt [9/16] Sanne Veldkamp (NED)
							[h2h]","11-5, 11-2, 11-5"
2819,98,2nd round,"[2] Ineta Mackevica (LAT) bt [9/16] Riina Koskinen (FIN)
							[h2h]","11-5, 11-5, 11-8"
2820,98,1st round,[1] Lisa Aitken (SCO),bye
2821,98,1st round,"[9/16] Bruna Marchesi Petrillo (BRA) bt [WC] Milla Uusitalo (FIN)
							[h2h]","11-6, 11-7, 11-7"
2822,98,1st round,"[9/16] Eva Feřteková (CZE) bt [WC] Sanna Koivumäki (FIN)
							[h2h]","11-6, 11-7, 12-10"
2823,98,1st round,[6] Emilia Soini (FIN),bye
2824,98,1st round,[8] Grace Gear (ENG),bye
2825,98,1st round,"[9/16] Emilia Korhonen (FIN) bt Sofía Mateos (ESP)
							[h2h]","11-8, 11-5, 11-9"
2826,98,1st round,"[9/16] Paulina Krzywicka (POL) bt Daphne Timmer (NED)
							[h2h]","11-4, 11-7, 11-8"
2827,98,1st round,[4] Chloe Mesic (FRA),bye
2828,98,1st round,[3] Olivia Fiechter (USA),bye
2829,98,1st round,"[9/16] Charlotte Jagger (ENG) bt [WC] Henrietta Huuhka (FIN)
							[h2h]","11-5, 11-9, 11-13, 11-6"
2830,98,1st round,"[9/16] Lily Taylor (ENG) bt Michaela Cepová (CZE)
							[h2h]","11-4, 11-3, 11-5"
2831,98,1st round,[5] Kace Bartley (ENG),bye
2832,98,1st round,[7] Cristina Gomez (ESP),bye
2833,98,1st round,"[9/16] Sanne Veldkamp (NED) bt Katri Aalto-Setälä (FIN)
							[h2h]","11-8, 11-6, 8-11, 11-5"
2834,98,1st round,"[9/16] Riina Koskinen (FIN) bt Maarit Ekholm (FIN)
							[h2h]","11-7, 14-12, 11-2"
2835,98,1st round,[2] Ineta Mackevica (LAT),bye
2836,99,Final,"[1] Lisa Aitken (SCO) bt [6] Cindy Merlo (SUI)
							[h2h]","11-3, 12-14, 11-5, 13-11"
2837,99,Semi-finals,"[1] Lisa Aitken (SCO) bt [4] Tessa ter Sluis (NED)
							[h2h]","11-4, 11-8, 11-9"
2838,99,Semi-finals,"[6] Cindy Merlo (SUI) bt [3] Kace Bartley (ENG)
							[h2h]","11-5, 11-5, 11-8"
2839,99,Quarter-finals,"[1] Lisa Aitken (SCO) bt [WC] Monica Menegozzi (ITA)
							[h2h]","11-8, 11-6, 11-6"
2840,99,Quarter-finals,"[4] Tessa ter Sluis (NED) bt [5] Jasmine Hutton (ENG)
							[h2h]","11-9, 11-4, 11-7"
2841,99,Quarter-finals,"[3] Kace Bartley (ENG) bt [9/16] Cristina Tartarone (ITA)
							[h2h]","11-4, 11-6, 11-7"
2842,99,Quarter-finals,"[6] Cindy Merlo (SUI) bt [2] Chloe Mesic (FRA)
							[h2h]","11-9, 11-4, 11-8"
2843,99,2nd round,"[1] Lisa Aitken (SCO) bt Ambre Allinckx (SUI)
							[h2h]","11-4, 11-2, 11-6"
2844,99,2nd round,"[WC] Monica Menegozzi (ITA) bt [7] Riina Koskinen (FIN)
							[h2h]","16-14, 7-11, 11-3, 11-7"
2845,99,2nd round,"[5] Jasmine Hutton (ENG) bt [9/16] Georgia Adderley (SCO)
							[h2h]","10-12, 11-7, 13-11, 11-6"
2846,99,2nd round,"[4] Tessa ter Sluis (NED) bt Olga Kolárová (CZE)
							[h2h]","11-9, 11-7, 11-9"
2847,99,2nd round,"[3] Kace Bartley (ENG) bt [9/16] Karina Tyma (POL)
							[h2h]","13-11, 6-11, 11-9, 8-11, 11-8"
2848,99,2nd round,"[9/16] Cristina Tartarone (ITA) bt [8] Charlotte Jagger (ENG)
							[h2h]","12-10, 11-6, 14-12"
2849,99,2nd round,"[6] Cindy Merlo (SUI) bt [WC] Julia Le Coq (FRA)
							[h2h]","11-7, 11-3, 11-9"
2850,99,2nd round,"[2] Chloe Mesic (FRA) bt [9/16] Michaela Cepová (CZE)
							[h2h]","11-1, 11-5, 12-10"
2851,99,1st round,[1] Lisa Aitken (SCO),bye
2852,99,1st round,"Ambre Allinckx (SUI) bt [9/16] Paulina Krzywicka (POL)
							[h2h]","11-0, 11-6, 11-9"
2853,99,1st round,"[WC] Monica Menegozzi (ITA) bt [9/16] Amy Jones (ENG)
							[h2h]","11-7, 11-3, 11-5"
2854,99,1st round,[7] Riina Koskinen (FIN),bye
2855,99,1st round,[5] Jasmine Hutton (ENG),bye
2856,99,1st round,"[9/16] Georgia Adderley (SCO) bt Nia Davies (WAL)
							[h2h]","11-6, 11-6, 11-5"
2857,99,1st round,"Olga Kolárová (CZE) bt [9/16] Elspeth Young (SCO)
							[h2h]","7-11, 11-1, 11-3, 11-4"
2858,99,1st round,[4] Tessa ter Sluis (NED),bye
2859,99,1st round,[3] Kace Bartley (ENG),bye
2860,99,1st round,"[9/16] Karina Tyma (POL) bt Eleonora Magnani (ITA)
							[h2h]","11-1, 11-2, 11-3"
2861,99,1st round,"[9/16] Cristina Tartarone (ITA) bt [WC] Julia Zhukovets (UKR)
							[h2h]","11-6, 11-2, 11-4"
2862,99,1st round,[8] Charlotte Jagger (ENG),bye
2863,99,1st round,[6] Cindy Merlo (SUI),bye
2864,99,1st round,"[WC] Julia Le Coq (FRA) bt [9/16] Bruna Marchesi Petrillo (BRA)
							[h2h]","11-4, 3-11, 9-11, 11-2, 11-0"
2865,99,1st round,"[9/16] Michaela Cepová (CZE) bt Daphne Timmer (NED)
							[h2h]","11-5, 11-3, 8-11, 11-0"
2866,99,1st round,[2] Chloe Mesic (FRA),bye
2867,100,Final,"[1] Fiona Moverley (ENG) bt [9/16] Sabrina Sobhy (USA)
							[h2h]","9-11, 17-15, 11-9, 13-11 (49m)"
2868,100,Semi-finals,"[1] Fiona Moverley (ENG) bt [5] Hana Ramadan (EGY)
							[h2h]","11-9, 11-5, 11-9 (30m)"
2869,100,Semi-finals,"[9/16] Sabrina Sobhy (USA) bt [3] Lucy Turmel (ENG)
							[h2h]","11-4, 11-7, 7-11, 11-2 (38m)"
2870,100,Quarter-finals,"[1] Fiona Moverley (ENG) bt [8] Rachael Chadwick (ENG)
							[h2h]","11-5, 11-8, 11-8 (26m)"
2871,100,Quarter-finals,"[5] Hana Ramadan (EGY) bt [4] Nicole Bunyan (CAN)
							[h2h]","11-2, 11-5, 13-11 (35m)"
2872,100,Quarter-finals,"[3] Lucy Turmel (ENG) bt [6] Ineta Mackevica (LAT)
							[h2h]","11-5, 12-10, 7-11, 9-11, 11-9 (62m)"
2873,100,Quarter-finals,"[9/16] Sabrina Sobhy (USA) bt [9/16] Olivia Fiechter (USA)
							[h2h]","11-8, 11-7, 3-11, 11-9 (62m)"
2874,100,2nd round,"[1] Fiona Moverley (ENG) bt Alice Green (ENG)
							[h2h]","11-6, 11-6, 11-5 (16m)"
2875,100,2nd round,"[8] Rachael Chadwick (ENG) bt [9/16] Grace Gear (ENG)
							[h2h]","11-4, 11-8, 13-11 (32m)"
2876,100,2nd round,"[5] Hana Ramadan (EGY) bt [9/16] Cristina Gomez (ESP)
							[h2h]","11-9, 11-6, 11-6"
2877,100,2nd round,"[4] Nicole Bunyan (CAN) bt [9/16] Eva Feřteková (CZE)
							[h2h]","13-11, 11-6, 11-5 (33m)"
2878,100,2nd round,"[3] Lucy Turmel (ENG) bt [9/16] Lucy Beecroft (ENG)
							[h2h]","11-4, 11-6, 3-11, 11-9 (37m)"
2879,100,2nd round,"[6] Ineta Mackevica (LAT) bt [9/16] Alicia Mead (ENG)
							[h2h]","11-6, 11-5, 6-11, 11-3 (29m)"
2880,100,2nd round,"[9/16] Sabrina Sobhy (USA) bt [7] Alison Thomson (SCO)
							[h2h]","11-5, 11-0, 11-5 (20m)"
2881,100,2nd round,"[9/16] Olivia Fiechter (USA) bt [2] Julianne Courtice (ENG)
							[h2h]","12-10, 5-11, 11-8, 5-11, 11-5 (46m)"
2882,100,1st round,[1] Fiona Moverley (ENG),bye
2883,100,1st round,"Alice Green (ENG) bt [9/16] Ali Loke (WAL)
							[h2h]","11-8, 6-11, 11-8, 15-13 (34m)"
2884,100,1st round,"[9/16] Grace Gear (ENG) bt Fanny Segers (FRA)
							[h2h]","11-6, 11-6, 11-2 (25m)"
2885,100,1st round,[8] Rachael Chadwick (ENG),bye
2886,100,1st round,[5] Hana Ramadan (EGY),bye
2887,100,1st round,"[9/16] Cristina Gomez (ESP) bt Celine Walser (SUI)
							[h2h]","9-11, 5-11, 11-9, 11-6, 11-3 (52m)"
2888,100,1st round,"[9/16] Eva Feřteková (CZE) bt Lowri Roberts (WAL)
							[h2h]","12-10, 3-11, 8-11, 12-10, 11-7 (48m)"
2889,100,1st round,[4] Nicole Bunyan (CAN),bye
2890,100,1st round,[3] Lucy Turmel (ENG),bye
2891,100,1st round,"[9/16] Lucy Beecroft (ENG) bt Emilia Korhonen (FIN)
							[h2h]","11-3, 11-4, 11-7 (27m)"
2892,100,1st round,"[9/16] Alicia Mead (ENG) bt Margaux Pitarch (ESP)
							[h2h]","14-12, 11-8, 11-9 (42m)"
2893,100,1st round,[6] Ineta Mackevica (LAT),bye
2894,100,1st round,[7] Alison Thomson (SCO),bye
2895,100,1st round,[9/16] Sabrina Sobhy (USA),bye
2896,100,1st round,"[9/16] Olivia Fiechter (USA) bt [WC] Lily Taylor (ENG)
							[h2h]","11-6, 11-5, 8-11, 11-6 (31m)"
2897,100,1st round,[2] Julianne Courtice (ENG),bye
2898,101,Final,"[1] Laura Massaro (ENG) bt [2] Tesni Evans (WAL)
							[h2h]","11-9, 11-13, 11-9, 7-11, 11-3 (68m)"
2899,101,Semi-finals,"[1] Laura Massaro (ENG) bt [4] Mayar Hany (EGY)
							[h2h]","11-8, 11-5, 4-11, 11-8 (40m)"
2900,101,Semi-finals,"[2] Tesni Evans (WAL) bt [3] Millie Tomlinson (ENG)
							[h2h]","11-7, 12-10, 9-11, 11-13, 11-9 (87m)"
2901,101,Quarter-finals,"[1] Laura Massaro (ENG) bt [5] Samantha Cornett (CAN)
							[h2h]","11-9, 9-11, 8-11, 11-3, 11-9 (49m)"
2902,101,Quarter-finals,"[4] Mayar Hany (EGY) bt [9/16] Olivia Fiechter (USA)
							[h2h]","12-10, 11-5, 11-8 (30m)"
2903,101,Quarter-finals,"[3] Millie Tomlinson (ENG) bt [6] Julianne Courtice (ENG)
							[h2h]","11-7, 11-7, 14-12 (49m)"
2904,101,Quarter-finals,"[2] Tesni Evans (WAL) bt Melissa Alves (FRA)
							[h2h]","11-5, 11-2, 6-11, 12-10 (42m)"
2905,101,2nd round,"[1] Laura Massaro (ENG) bt [9/16] Menna Hamed (EGY)
							[h2h]","11-5, 11-8, 11-3 (24m)"
2906,101,2nd round,"[5] Samantha Cornett (CAN) bt [9/16] Ali Loke (WAL)
							[h2h]","11-7, 11-5, 11-3 (20m)"
2907,101,2nd round,"[9/16] Olivia Fiechter (USA) bt [7] Enora Villard (FRA)
							[h2h]","11-8, 11-6, 11-2 (27m)"
2908,101,2nd round,"[4] Mayar Hany (EGY) bt [9/16] Emilia Soini (FIN)
							[h2h]","11-7, 11-9, 6-11, 9-11, 11-7 (44m)"
2909,101,2nd round,"[3] Millie Tomlinson (ENG) bt Marie Stephan (FRA)
							[h2h]","11-3, 10-12, 11-2, 11-1 (33m)"
2910,101,2nd round,"[6] Julianne Courtice (ENG) bt [9/16] Anna Serme (CZE)
							[h2h]","11-7, 11-4, 11-7 (23m)"
2911,101,2nd round,"Melissa Alves (FRA) bt [8] Ineta Mackevica (LAT)
							[h2h]","11-6, 11-4, 11-7 (22m)"
2912,101,2nd round,"[2] Tesni Evans (WAL) bt [9/16] Rachael Chadwick (ENG)
							[h2h]","11-2, 11-9, 11-3 (30m)"
2913,101,1st round,[1] Laura Massaro (ENG),bye
2914,101,1st round,"[9/16] Menna Hamed (EGY) bt Emilia Korhonen (FIN)
							[h2h]","11-4, 11-5, 11-9 dsq. (17m)"
2915,101,1st round,"[9/16] Ali Loke (WAL) bt Nia Davies (WAL)
							[h2h]","11-9, 11-9, 11-5 (27m)"
2916,101,1st round,[5] Samantha Cornett (CAN),bye
2917,101,1st round,[7] Enora Villard (FRA),bye
2918,101,1st round,"[9/16] Olivia Fiechter (USA) bt Fanny Segers (FRA)
							[h2h]","11-3, 11-3, 11-3 (16m)"
2919,101,1st round,"[9/16] Emilia Soini (FIN) bt Bruna Marchesi Petrillo (BRA)
							[h2h]","11-4, 11-2, 11-3 (18m)"
2920,101,1st round,[4] Mayar Hany (EGY),bye
2921,101,1st round,[3] Millie Tomlinson (ENG),bye
2922,101,1st round,"Marie Stephan (FRA) bt [9/16] Nadia Pfister (SUI)
							[h2h]","9-11, 11-5, 10-12, 11-8, 11-6 (40m)"
2923,101,1st round,"[9/16] Anna Serme (CZE) bt Eva Feřteková (CZE)
							[h2h]","11-2, 11-1, 11-1 (14m)"
2924,101,1st round,[6] Julianne Courtice (ENG),bye
2925,101,1st round,[8] Ineta Mackevica (LAT),bye
2926,101,1st round,"Melissa Alves (FRA) bt [9/16] Tessa ter Sluis (NED)
							[h2h]","13-11, 11-6, 11-3 (24m)"
2927,101,1st round,"[9/16] Rachael Chadwick (ENG) bt Sunayna Kuruvilla (IND)
							[h2h]","11-7, 11-9, 11-7 (23m)"
2928,101,1st round,[2] Tesni Evans (WAL),bye
2929,102,Final,"[1] Yathreb Adel (EGY) bt [2] Nadine Shahin (EGY)
							[h2h]","11-5, 11-9, 11-8 (21m)"
2930,102,Semi-finals,"[1] Yathreb Adel (EGY) bt [3] Zeina Mickawy (EGY)
							[h2h]","11-8, 5-11, 11-9, 11-7 (35m)"
2931,102,Semi-finals,"[2] Nadine Shahin (EGY) bt [5] Sivasangari Subramaniam (MAS)
							[h2h]","11-8, 11-7, 11-7 (20m)"
2932,102,Quarter-finals,"[1] Yathreb Adel (EGY) bt [7] Rachel Arnold (MAS)
							[h2h]","12-10, 11-9, 9-11, 11-9 (34m)"
2933,102,Quarter-finals,"[3] Zeina Mickawy (EGY) bt [9/16] Enora Villard (FRA)
							[h2h]","11-8, 11-6, 4-11, 12-10 (45m)"
2934,102,Quarter-finals,"[5] Sivasangari Subramaniam (MAS) bt [4] Liu Tsz-Ling (HKG)
							[h2h]","11-9, 11-8, 3-11, 6-11, 11-4 (27m)"
2935,102,Quarter-finals,"[2] Nadine Shahin (EGY) bt [6] Satomi Watanabe (JPN)
							[h2h]","11-6, 11-3, 14-12 (27m)"
2936,102,2nd round,"[1] Yathreb Adel (EGY) bt [WC] Amna Fayyaz (PAK)
							[h2h]","11-8, 11-6, 11-4 (13m)"
2937,102,2nd round,"[7] Rachel Arnold (MAS) bt [9/16] Wen Li Lai (MAS)
							[h2h]","9-11, 11-4, 11-6, 11-6 (32m)"
2938,102,2nd round,"[9/16] Enora Villard (FRA) bt [8] Tong Tsz-Wing (HKG)
							[h2h]","11-8, 11-4, 11-6 (27m)"
2939,102,2nd round,"[3] Zeina Mickawy (EGY) bt [9/16] Aika Azman (MAS)
							[h2h]","11-4, 11-5, 11-6 (21m)"
2940,102,2nd round,"[4] Liu Tsz-Ling (HKG) bt [9/16] Eva Feřteková (CZE)
							[h2h]","11-1, 11-4, 11-1 (11m)"
2941,102,2nd round,"[5] Sivasangari Subramaniam (MAS) bt [9/16] Ooi Kah Yan (MAS)
							[h2h]","11-7, 11-7, 11-13, 11-4 (32m)"
2942,102,2nd round,"[6] Satomi Watanabe (JPN) bt [9/16] Madina Zafar (PAK)
							[h2h]","11-9, 11-4, 11-5 (16m)"
2943,102,2nd round,"[2] Nadine Shahin (EGY) bt Farah Momen (EGY)
							[h2h]","11-9, 11-5, 11-7 (19m)"
2944,102,1st round,[1] Yathreb Adel (EGY),bye
2945,102,1st round,"[WC] Amna Fayyaz (PAK) bt [9/16] Jelena Dutina (SRB)
							[h2h]","11-6, 13-11, 12-10 (30m)"
2946,102,1st round,"[9/16] Wen Li Lai (MAS) bt Anam Mustafa Aziz (PAK)
							[h2h]","11-2, 11-4, 11-5 (11m)"
2947,102,1st round,[7] Rachel Arnold (MAS),bye
2948,102,1st round,[8] Tong Tsz-Wing (HKG),bye
2949,102,1st round,"[9/16] Enora Villard (FRA) bt [WC] Noor Ul Huda (PAK)
							[h2h]","11-8, 11-3, 11-4 (14m)"
2950,102,1st round,"[9/16] Aika Azman (MAS) bt Sadia Gul (PAK)
							[h2h]","11-4, 8-2 ret. (11m)"
2951,102,1st round,[3] Zeina Mickawy (EGY),bye
2952,102,1st round,[4] Liu Tsz-Ling (HKG),bye
2953,102,1st round,"[9/16] Eva Feřteková (CZE) bt Riffat Khan (PAK)
							[h2h]","11-5, 11-7, 11-4 (26m)"
2954,102,1st round,"[9/16] Ooi Kah Yan (MAS) bt Arezou Mousavi (IRI)
							[h2h]","11-3, 11-3, 11-4 (17m)"
2955,102,1st round,[5] Sivasangari Subramaniam (MAS),bye
2956,102,1st round,[6] Satomi Watanabe (JPN),bye
2957,102,1st round,"[9/16] Madina Zafar (PAK) bt Zoya Khalid (PAK)
							[h2h]","11-5, 11-6, 11-6 (16m)"
2958,102,1st round,"Farah Momen (EGY) bt [9/16] Salma Youssef (EGY)
							[h2h]","11-8, 11-8, 3-11, 11-8 (30m)"
2959,102,1st round,[2] Nadine Shahin (EGY),bye
2960,103,Final,"[1] Low Wee Wern (MAS) bt [2] Lee Ka Yi (HKG)
							[h2h]","11-6, 11-5, 11-3 (27m)"
2961,103,Semi-finals,"[1] Low Wee Wern (MAS) bt [6] Sunayna Kuruvilla (IND)
							[h2h]","11-6, 11-4, 10-12, 11-5 (43m)"
2962,103,Semi-finals,"[2] Lee Ka Yi (HKG) bt Tanvi Khanna (IND)
							[h2h]","11-1, 11-2, 11-8 (24m)"
2963,103,Quarter-finals,"[1] Low Wee Wern (MAS) bt [8] Angie Ooi (MAS)
							[h2h]","11-3, 11-6, 11-2 (23m)"
2964,103,Quarter-finals,"[6] Sunayna Kuruvilla (IND) bt [3] Jemyca Aribado (PHI)
							[h2h]","9-11, 11-7, 14-12, 11-5 (37m)"
2965,103,Quarter-finals,"Tanvi Khanna (IND) bt [9/16] Jessica Keng (MAS)
							[h2h]","14-12, 11-5, 11-8 (28m)"
2966,103,Quarter-finals,"[2] Lee Ka Yi (HKG) bt [9/16] Sneha Sivakumar (SGP)
							[h2h]","11-6, 11-5, 11-4 (24m)"
2967,103,2nd round,"[1] Low Wee Wern (MAS) bt Chen Yu Ng (MAS)
							[h2h]","11-5, 11-5, 11-6 (20m)"
2968,103,2nd round,"[8] Angie Ooi (MAS) bt [9/16] Dong Ju Song (KOR)
							[h2h]","11-4, 11-3, 11-4 (30m)"
2969,103,2nd round,"[6] Sunayna Kuruvilla (IND) bt [9/16] Aparajitha Balamurukan (IND)
							[h2h]","11-6, 12-10, 11-6 (20m)"
